TDY,2020-10-21,Sep 2020,2.4,2.48,0.08,3.3
TEAM,2020-10-29,Sep 2020,0.27,0.3,0.03,11.1
TECH,2020-11-05,Sep 2020,1.14,1.43,0.29,25.4
TER,2020-10-20,Sep 2020,1.11,1.18,0.07,6.3
TFC,2020-10-15,Sep 2020,0.88,0.97,0.09,10.2
TFSL,2020-10-29,Sep 2020,0.06,0.05,-0.01,-16.6
TFX,2020-10-29,Sep 2020,2.27,2.77,0.5,22
TGT,2020-11-18,Oct 2020,1.61,2.79,1.18,73.2
THG,2020-10-27,Sep 2020,2.24,2.46,0.22,9.8
THO,2020-12-08,Oct 2020,1.46,2.05,0.59,40.4
THS,2020-11-05,Sep 2020,0.61,0.71,0.1,16.3
TJX,2020-11-18,Oct 2020,0.41,0.71,0.3,73.1
TKR,2020-10-29,Sep 2020,0.91,1.13,0.22,24.1
TMO,2020-10-21,Sep 2020,4.37,5.63,1.26,28.8
TMUS,2020-11-05,Sep 2020,0.51,1.17,0.66,129.4
TMX,2020-11-05,Sep 2020,0.22,0.26,0.04,18.1
TNDM,2020-11-05,Sep 2020,-0.08,-0.09,-0.01,-12.5
TOL,2020-12-07,Oct 2020,1.23,1.55,0.32,26
TPR,2020-10-29,Sep 2020,0.22,0.58,0.36,163.6
TPX,2020-10-29,Sep 2020,0.55,0.74,0.19,34.5
TREE,2020-11-05,Sep 2020,-0.15,-0.26,-0.11,-73.3
TREX,2020-11-02,Sep 2020,0.38,0.41,0.03,7.8
TRGP,2020-11-05,Sep 2020,0.09,0.16,0.07,77.7
TRIP,2020-11-05,Sep 2020,-0.29,-0.17,0.12,41.3
TRMB,2020-11-04,Sep 2020,0.43,0.6,0.17,39.5
TRN,2020-10-21,Sep 2020,0.05,0.17,0.12,240
TROW,2020-10-29,Sep 2020,2.53,2.55,0.02,0.7
TRU,2020-10-27,Sep 2020,0.76,0.81,0.05,6.5
TRV,2020-10-20,Sep 2020,2.91,3.12,0.21,7.2
TSCO,2020-10-22,Sep 2020,1.38,1.62,0.24,17.3
TSLA,2020-10-21,Sep 2020,0.55,0.76,0.21,38.1
TSN,2020-11-16,Sep 2020,1.15,1.81,0.66,57.3
TT,2020-10-28,Sep 2020,1.34,1.72,0.38,28.3
TTC,2020-12-16,Oct 2020,0.52,0.64,0.12,23
TTD,2020-11-05,Sep 2020,0.49,1.27,0.78,159.1
TTWO,2020-11-05,Sep 2020,1.45,2.04,0.59,40.6
TW,2020-10-28,Sep 2020,0.29,0.3,0.01,3.4
TWLO,2020-10-26,Sep 2020,-0.05,0.04,0.09,180
TWOU,2020-10-27,Sep 2020,-0.27,-0.24,0.03,11.1
TWTR,2020-10-29,Sep 2020,0.06,0.19,0.13,216.6
TXG,2020-11-10,Sep 2020,-0.33,-0.33,0,0
TXN,2020-10-20,Sep 2020,1.27,1.45,0.18,14.1
TXT,2020-10-29,Sep 2020,0.35,0.53,0.18,51.4
TYL,2020-11-04,Sep 2020,1.34,1.5,0.16,11.9
U,2020-11-12,Sep 2020,-0.15,-0.09,0.06,40
UAA,2020-10-30,Sep 2020,0.04,0.26,0.22,550
UAL,2020-10-14,Sep 2020,-7.63,-8.16,-0.53,-6.9
UBER,2020-11-05,Sep 2020,-0.6,-0.62,-0.02,-3.3
UDR,2020-10-29,Sep 2020,0.5,0.5,0,0
UGI,2020-11-18,Sep 2020,-0.33,-0.14,0.19,57.5
UHAL,2020-11-04,Sep 2020,4.58,13.58,9,196.5
UHS,2020-10-29,Sep 2020,2.04,2.88,0.84,41.1
UI,2020-11-06,Sep 2020,1.47,2.47,1,68
ULTA,2020-12-03,Oct 2020,1.51,1.64,0.13,8.6
UMPQ,2020-10-21,Sep 2020,0.34,0.57,0.23,67.6
UNH,2020-10-14,Sep 2020,2.98,3.51,0.53,17.7
UNM,2020-10-27,Sep 2020,1.31,1.21,-0.1,-7.6
UNP,2020-10-22,Sep 2020,2.03,2.01,-0.02,-0.9
UNVR,2020-11-04,Sep 2020,0.23,0.34,0.11,47.8
UPS,2020-10-28,Sep 2020,1.86,2.28,0.42,22.5
URI,2020-10-28,Sep 2020,4.33,5.4,1.07,24.7
USB,2020-10-14,Sep 2020,0.93,0.99,0.06,6.4
USFD,2020-11-02,Sep 2020,0.2,0.15,-0.05,-25
USM,2020-11-05,Sep 2020,0.3,0.97,0.67,223.3
UTHR,2020-10-28,Sep 2020,2.41,3.84,1.43,59.3
V,2020-10-28,Sep 2020,1.09,1.12,0.03,2.7
VEEV,2020-12-01,Oct 2020,0.68,0.78,0.1,14.7
VER,2020-11-05,Sep 2020,0.75,0.4,-0.35,-46.6
VFC,2020-10-16,Sep 2020,0.51,0.67,0.16,31.3
VIAC,2020-11-06,Sep 2020,0.83,0.91,0.08,9.6
VICI,2020-10-28,Sep 2020,0.42,0.74,0.32,76.1
VIRT,2020-11-06,Sep 2020,0.75,0.81,0.06,8
VLO,2020-10-22,Sep 2020,-1.35,-1.16,0.19,14
VMC,2020-11-05,Sep 2020,1.63,1.56,-0.07,-4.2
VMI,2020-10-21,Sep 2020,1.71,1.99,0.28,16.3
VMW,2020-11-24,Oct 2020,1.43,1.66,0.23,16
VNO,2020-11-02,Sep 2020,0.64,0.59,-0.05,-7.8
VNT,2020-10-29,Sep 2020,0.69,0.8,0.11,15.9
VOYA,2020-11-04,Sep 2020,1.41,1.19,-0.22,-15.6
VRM,2020-11-11,Sep 2020,-0.37,-0.31,0.06,16.2
VRSK,2020-11-04,Sep 2020,1.21,1.32,0.11,9
VRSN,2020-10-22,Sep 2020,1.26,1.49,0.23,18.2
VRT,2020-11-04,Sep 2020,0.26,0.32,0.06,23
VRTX,2020-10-29,Sep 2020,2.39,2.64,0.25,10.4
VSAT,2020-11-05,Sep 2020,-0.05,0.03,0.08,160
VST,2020-11-04,Sep 2020,0.4,1.02,0.62,155
VTR,2020-11-06,Sep 2020,0.72,0.75,0.03,4.1
VVV,2020-10-28,Sep 2020,0.36,0.46,0.1,27.7
VZ,2020-10-21,Sep 2020,1.22,1.25,0.03,2.4
W,2020-11-03,Sep 2020,0.81,2.3,1.49,183.9
WAB,2020-10-29,Sep 2020,0.9,0.95,0.05,5.5
WAL,2020-10-22,Sep 2020,1.04,1.36,0.32,30.7
WAT,2020-10-27,Sep 2020,1.91,2.16,0.25,13
WBA,2020-10-15,Aug 2020,0.96,1.02,0.06,6.2
WBS,2020-10-22,Sep 2020,0.69,0.75,0.06,8.7
WDAY,2020-11-19,Oct 2020,0.67,0.86,0.19,28.3
WDC,2020-10-28,Sep 2020,0.54,0.65,0.11,20.3
WEC,2020-11-03,Sep 2020,0.76,0.84,0.08,10.5
WELL,2020-10-28,Sep 2020,0.81,1.17,0.36,44.4
WEN,2020-11-04,Sep 2020,0.17,0.19,0.02,11.7
WEX,2020-10-29,Sep 2020,1.75,1.59,-0.16,-9.1
WFC,2020-10-14,Sep 2020,0.47,0.56,0.09,19.1
WH,2020-10-28,Sep 2020,0.3,0.36,0.06,20
WHR,2020-10-21,Sep 2020,4.1,6.91,2.81,68.5
WLK,2020-11-03,Sep 2020,0.46,0.6,0.14,30.4
WLTW,2020-10-29,Sep 2020,1.28,1.33,0.05,3.9
WM,2020-11-02,Sep 2020,1.03,1.09,0.06,5.8
WMB,2020-11-02,Sep 2020,0.27,0.27,0,0
WMT,2020-11-17,Oct 2020,1.19,1.34,0.15,12.6
WORK,2020-12-01,Oct 2020,-0.05,0.01,0.06,120
WPC,2020-10-30,Sep 2020,1.14,1.15,0.01,0.8
WRB,2020-10-20,Sep 2020,0.62,0.65,0.03,4.8
WRI,2020-10-29,Sep 2020,0.4,0.44,0.04,10
WRK,2020-11-05,Sep 2020,0.68,0.73,0.05,7.3
WSM,2020-11-19,Oct 2020,1.52,2.56,1.04,68.4
WSO,2020-10-22,Sep 2020,2.53,2.76,0.23,9
WST,2020-10-22,Sep 2020,1.01,1.15,0.14,13.8
WTFC,2020-10-21,Sep 2020,1.08,1.67,0.59,54.6
WTRG,2020-11-03,Sep 2020,0.26,0.23,-0.03,-11.5
WU,2020-10-29,Sep 2020,0.47,0.57,0.1,21.2
WWD,2020-11-19,Sep 2020,0.54,0.75,0.21,38.8
WWE,2020-10-29,Sep 2020,0.35,0.56,0.21,60
WY,2020-10-30,Sep 2020,0.39,0.52,0.13,33.3
WYNN,2020-11-05,Sep 2020,-3.32,-7.04,-3.72,-112
XEC,2020-11-04,Sep 2020,0.21,0.51,0.3,142.8
XEL,2020-10-29,Sep 2020,1.08,1.14,0.06,5.5
XLNX,2020-10-21,Sep 2020,0.76,0.82,0.06,7.8
XLRN,2020-11-05,Sep 2020,-0.55,-0.66,-0.11,-20
XOM,2020-10-30,Sep 2020,-0.28,-0.18,0.1,35.7
XPO,2020-11-05,Sep 2020,0.38,0.84,0.46,121
XRAY,2020-11-05,Sep 2020,0.28,0.67,0.39,139.2
XRX,2020-10-27,Sep 2020,0.24,0.48,0.24,100
XYL,2020-10-29,Sep 2020,0.52,0.62,0.1,19.2
Y,2020-11-03,Sep 2020,-3.37,3.23,6.6,195.8
YUM,2020-10-29,Sep 2020,0.79,1.01,0.22,27.8
YUMC,2020-10-28,Sep 2020,0.46,0.66,0.2,43.4
ZBH,2020-11-06,Sep 2020,1.05,1.81,0.76,72.3
ZBRA,2020-11-03,Sep 2020,2.82,3.27,0.45,15.9
ZEN,2020-10-29,Sep 2020,0.1,0.17,0.07,70
ZG,2020-11-05,Sep 2020,0.15,0.37,0.22,146.6
ZION,2020-10-19,Sep 2020,0.86,1.01,0.15,17.4
ZM,2020-11-30,Oct 2020,0.75,0.99,0.24,32
ZNGA,2020-11-04,Sep 2020,0.09,-0.03,-0.12,-133.3
ZS,2020-12-02,Oct 2020,0.06,0.14,0.08,133.3
ZTS,2020-11-05,Sep 2020,0.89,1.1,0.21,23.6
